Thu Nov  5 16:31:04 2020 Fold 0, Epoch 1, lr: 0.0000300, train loss: 0.36273, valid loss: 0.13474, Acc: 95.6579, AUC: 0.989800.
Thu Nov  5 16:34:18 2020 Fold 0, Epoch 2, lr: 0.0003000, train loss: 0.16883, valid loss: 0.21828, Acc: 91.0839, AUC: 0.996897.
Thu Nov  5 16:37:33 2020 Fold 0, Epoch 3, lr: 0.0002991, train loss: 0.11286, valid loss: 0.02503, Acc: 99.3371, AUC: 0.999837.
Thu Nov  5 16:40:48 2020 Fold 0, Epoch 4, lr: 0.0002965, train loss: 0.07701, valid loss: 0.03985, Acc: 98.9393, AUC: 0.998899.
Thu Nov  5 16:44:04 2020 Fold 0, Epoch 5, lr: 0.0002921, train loss: 0.06288, valid loss: 0.01497, Acc: 99.5360, AUC: 0.999915.
Thu Nov  5 16:47:21 2020 Fold 0, Epoch 6, lr: 0.0002861, train loss: 0.05705, valid loss: 0.00571, Acc: 99.8674, AUC: 0.999998.
Thu Nov  5 16:50:36 2020 Fold 0, Epoch 7, lr: 0.0002785, train loss: 0.05279, valid loss: 0.01484, Acc: 99.7348, AUC: 0.999999.
Thu Nov  5 16:53:51 2020 Fold 0, Epoch 8, lr: 0.0002694, train loss: 0.05024, valid loss: 0.00737, Acc: 99.7348, AUC: 0.999981.
Thu Nov  5 16:57:10 2020 Fold 0, Epoch 9, lr: 0.0002589, train loss: 0.04194, valid loss: 0.00241, Acc: 99.9337, AUC: 0.999998.
Thu Nov  5 17:00:25 2020 Fold 0, Epoch 10, lr: 0.0002471, train loss: 0.03808, valid loss: 0.00731, Acc: 99.8011, AUC: 1.000000.
Thu Nov  5 17:03:41 2020 Fold 0, Epoch 11, lr: 0.0002342, train loss: 0.03443, valid loss: 0.02013, Acc: 99.7017, AUC: 0.999999.
Thu Nov  5 17:06:59 2020 Fold 0, Epoch 12, lr: 0.0002203, train loss: 0.03285, valid loss: 0.00732, Acc: 99.7680, AUC: 0.999998.
Thu Nov  5 17:10:15 2020 Fold 0, Epoch 13, lr: 0.0002055, train loss: 0.03161, valid loss: 0.00657, Acc: 99.8343, AUC: 1.000000.
Thu Nov  5 17:13:31 2020 Fold 0, Epoch 14, lr: 0.0001901, train loss: 0.02500, valid loss: 0.01362, Acc: 99.4697, AUC: 1.000000.
Thu Nov  5 17:16:46 2020 Fold 0, Epoch 15, lr: 0.0001743, train loss: 0.02595, valid loss: 0.00081, Acc: 100.0000, AUC: 1.000000.
Thu Nov  5 17:20:01 2020 Fold 0, Epoch 16, lr: 0.0001581, train loss: 0.02539, valid loss: 0.01288, Acc: 99.8011, AUC: 0.999999.
Thu Nov  5 17:23:15 2020 Fold 0, Epoch 17, lr: 0.0001419, train loss: 0.01959, valid loss: 0.00133, Acc: 100.0000, AUC: 1.000000.
Thu Nov  5 17:26:30 2020 Fold 0, Epoch 18, lr: 0.0001257, train loss: 0.01907, valid loss: 0.00304, Acc: 100.0000, AUC: 1.000000.
Thu Nov  5 17:29:45 2020 Fold 0, Epoch 19, lr: 0.0001099, train loss: 0.01495, valid loss: 0.00290, Acc: 99.9669, AUC: 1.000000.
Thu Nov  5 17:32:59 2020 Fold 0, Epoch 20, lr: 0.0000945, train loss: 0.01745, valid loss: 0.00180, Acc: 99.9669, AUC: 1.000000.
Thu Nov  5 17:36:13 2020 Fold 0, Epoch 21, lr: 0.0000797, train loss: 0.01557, valid loss: 0.00171, Acc: 99.9337, AUC: 1.000000.
Thu Nov  5 17:39:28 2020 Fold 0, Epoch 22, lr: 0.0000658, train loss: 0.01806, valid loss: 0.00316, Acc: 99.9337, AUC: 1.000000.
Thu Nov  5 17:42:41 2020 Fold 0, Epoch 23, lr: 0.0000529, train loss: 0.01182, valid loss: 0.00126, Acc: 99.9337, AUC: 1.000000.
Thu Nov  5 17:45:56 2020 Fold 0, Epoch 24, lr: 0.0000411, train loss: 0.01215, valid loss: 0.00343, Acc: 99.8674, AUC: 0.999997.
Thu Nov  5 17:49:11 2020 Fold 0, Epoch 25, lr: 0.0000306, train loss: 0.00969, valid loss: 0.00160, Acc: 99.9337, AUC: 1.000000.
Thu Nov  5 17:52:25 2020 Fold 0, Epoch 26, lr: 0.0000215, train loss: 0.01046, valid loss: 0.00176, Acc: 99.9337, AUC: 1.000000.
Thu Nov  5 17:55:39 2020 Fold 0, Epoch 27, lr: 0.0000139, train loss: 0.01012, valid loss: 0.00131, Acc: 99.9337, AUC: 1.000000.
Thu Nov  5 17:58:53 2020 Fold 0, Epoch 28, lr: 0.0000079, train loss: 0.00880, valid loss: 0.00142, Acc: 99.9337, AUC: 1.000000.
Thu Nov  5 18:02:07 2020 Fold 0, Epoch 29, lr: 0.0000035, train loss: 0.00975, valid loss: 0.00094, Acc: 99.9337, AUC: 1.000000.
