Mon Nov 16 17:57:09 2020 Fold 0, Epoch 1, lr: 0.0000030, train loss: 1.97769, valid loss: 1.86077, Acc: 33.9120, AUC: 0.000000.
Mon Nov 16 17:59:45 2020 Fold 0, Epoch 2, lr: 0.0000300, train loss: 1.27774, valid loss: 0.85277, Acc: 70.7176, AUC: 0.000000.
Mon Nov 16 18:02:22 2020 Fold 0, Epoch 3, lr: 0.0000291, train loss: 0.76631, valid loss: 0.62326, Acc: 78.5301, AUC: 0.000000.
Mon Nov 16 18:04:58 2020 Fold 0, Epoch 4, lr: 0.0000265, train loss: 0.58908, valid loss: 0.58050, Acc: 78.9931, AUC: 0.000000.
Mon Nov 16 18:07:33 2020 Fold 0, Epoch 5, lr: 0.0000225, train loss: 0.48120, valid loss: 0.53412, Acc: 81.2500, AUC: 0.000000.
Mon Nov 16 18:10:14 2020 Fold 0, Epoch 6, lr: 0.0000176, train loss: 0.41138, valid loss: 0.54245, Acc: 79.5718, AUC: 0.000000.
Mon Nov 16 18:12:56 2020 Fold 0, Epoch 7, lr: 0.0000124, train loss: 0.36136, valid loss: 0.52320, Acc: 79.5718, AUC: 0.000000.
Mon Nov 16 18:15:40 2020 Fold 0, Epoch 8, lr: 0.0000075, train loss: 0.34133, valid loss: 0.50266, Acc: 79.6875, AUC: 0.000000.
Mon Nov 16 18:18:20 2020 Fold 0, Epoch 9, lr: 0.0000035, train loss: 0.31040, valid loss: 0.51831, Acc: 80.4977, AUC: 0.000000.
Mon Nov 16 18:21:01 2020 Fold 0, Epoch 10, lr: 0.0000009, train loss: 0.31117, valid loss: 0.52427, Acc: 78.9931, AUC: 0.000000.
Mon Nov 16 18:23:45 2020 Fold 1, Epoch 1, lr: 0.0000030, train loss: 1.93368, valid loss: 1.76216, Acc: 35.1716, AUC: 0.000000.
Mon Nov 16 18:26:27 2020 Fold 1, Epoch 2, lr: 0.0000300, train loss: 1.27985, valid loss: 0.85029, Acc: 71.1397, AUC: 0.000000.
