Tue Nov 10 20:32:45 2020 Fold 0, Epoch 1, lr: 0.0000400, train loss: 0.07180, valid loss: 0.02469, Acc: 99.7680, AUC: 1.000000.
Tue Nov 10 20:40:29 2020 Fold 0, Epoch 2, lr: 0.0004000, train loss: 0.04124, valid loss: 0.00165, Acc: 99.9337, AUC: 1.000000.
Tue Nov 10 20:48:14 2020 Fold 0, Epoch 3, lr: 0.0003414, train loss: 0.00222, valid loss: 0.00029, Acc: 100.0000, AUC: 1.000000.
Tue Nov 10 20:55:58 2020 Fold 0, Epoch 4, lr: 0.0002000, train loss: 0.00061, valid loss: 0.00049, Acc: 100.0000, AUC: 1.000000.
Tue Nov 10 21:03:42 2020 Fold 0, Epoch 5, lr: 0.0000586, train loss: 0.00041, valid loss: 0.00026, Acc: 100.0000, AUC: 1.000000.
Tue Nov 10 21:39:18 2020 Fold 0, Epoch 1, lr: 0.0000400, train loss: 0.07180, valid loss: 0.02469, Acc: 99.7680, AUC: 1.000000.
Tue Nov 10 21:47:01 2020 Fold 0, Epoch 2, lr: 0.0004000, train loss: 0.04124, valid loss: 0.00165, Acc: 99.9337, AUC: 1.000000.
Tue Nov 10 21:54:45 2020 Fold 0, Epoch 3, lr: 0.0003414, train loss: 0.00222, valid loss: 0.00029, Acc: 100.0000, AUC: 1.000000.
Tue Nov 10 22:02:29 2020 Fold 0, Epoch 4, lr: 0.0002000, train loss: 0.00061, valid loss: 0.00049, Acc: 100.0000, AUC: 1.000000.
Tue Nov 10 22:10:12 2020 Fold 0, Epoch 5, lr: 0.0000586, train loss: 0.00041, valid loss: 0.00026, Acc: 100.0000, AUC: 1.000000.
Tue Nov 10 23:25:42 2020 Fold 0, Epoch 1, lr: 0.0000400, train loss: 0.07180, valid loss: 0.02469, Acc: 99.7680, AUC: 1.000000.
Tue Nov 10 23:33:25 2020 Fold 0, Epoch 2, lr: 0.0004000, train loss: 0.04124, valid loss: 0.00165, Acc: 99.9337, AUC: 1.000000.
Tue Nov 10 23:41:09 2020 Fold 0, Epoch 3, lr: 0.0003414, train loss: 0.00222, valid loss: 0.00029, Acc: 100.0000, AUC: 1.000000.
Tue Nov 10 23:48:53 2020 Fold 0, Epoch 4, lr: 0.0002000, train loss: 0.00061, valid loss: 0.00049, Acc: 100.0000, AUC: 1.000000.
Tue Nov 10 23:56:37 2020 Fold 0, Epoch 5, lr: 0.0000586, train loss: 0.00041, valid loss: 0.00026, Acc: 100.0000, AUC: 1.000000.
Wed Nov 11 00:04:22 2020 Fold 0, Epoch 1, lr: 0.0000400, train loss: 0.13629, valid loss: 0.04708, Acc: 98.8068, AUC: 0.999525.
Wed Nov 11 00:12:06 2020 Fold 0, Epoch 2, lr: 0.0004000, train loss: 0.06373, valid loss: 0.00682, Acc: 99.8343, AUC: 1.000000.
Wed Nov 11 00:19:51 2020 Fold 0, Epoch 3, lr: 0.0003414, train loss: 0.02035, valid loss: 0.02043, Acc: 99.3371, AUC: 0.999854.
Wed Nov 11 00:27:35 2020 Fold 0, Epoch 4, lr: 0.0002000, train loss: 0.00799, valid loss: 0.00247, Acc: 99.9006, AUC: 1.000000.
Wed Nov 11 00:35:19 2020 Fold 0, Epoch 5, lr: 0.0000586, train loss: 0.00320, valid loss: 0.00087, Acc: 100.0000, AUC: 1.000000.
Wed Nov 11 00:43:05 2020 Fold 0, Epoch 1, lr: 0.0000400, train loss: 0.14432, valid loss: 0.07104, Acc: 98.6079, AUC: 0.998962.
Wed Nov 11 00:50:49 2020 Fold 0, Epoch 2, lr: 0.0004000, train loss: 0.08483, valid loss: 0.02337, Acc: 99.1051, AUC: 0.999994.
Wed Nov 11 00:58:34 2020 Fold 0, Epoch 3, lr: 0.0003414, train loss: 0.02726, valid loss: 0.07571, Acc: 97.2158, AUC: 0.999854.
Wed Nov 11 01:06:18 2020 Fold 0, Epoch 4, lr: 0.0002000, train loss: 0.01227, valid loss: 0.00476, Acc: 99.9337, AUC: 0.999999.
Wed Nov 11 01:14:02 2020 Fold 0, Epoch 5, lr: 0.0000586, train loss: 0.00228, valid loss: 0.00308, Acc: 99.9337, AUC: 1.000000.
Wed Nov 11 01:21:48 2020 Fold 0, Epoch 1, lr: 0.0000400, train loss: 0.16206, valid loss: 0.09025, Acc: 97.9450, AUC: 0.998038.
Wed Nov 11 01:29:33 2020 Fold 0, Epoch 2, lr: 0.0004000, train loss: 0.08577, valid loss: 0.05906, Acc: 98.0113, AUC: 0.996504.
Wed Nov 11 01:37:17 2020 Fold 0, Epoch 3, lr: 0.0003414, train loss: 0.02545, valid loss: 0.00949, Acc: 99.8674, AUC: 0.999998.
Wed Nov 11 01:45:02 2020 Fold 0, Epoch 4, lr: 0.0002000, train loss: 0.00571, valid loss: 0.03579, Acc: 98.8068, AUC: 0.999949.
Wed Nov 11 01:52:47 2020 Fold 0, Epoch 5, lr: 0.0000586, train loss: 0.00241, valid loss: 0.00287, Acc: 99.9006, AUC: 1.000000.
Wed Nov 11 02:00:33 2020 Fold 0, Epoch 1, lr: 0.0000400, train loss: 0.17858, valid loss: 0.13406, Acc: 95.9894, AUC: 0.994857.
Wed Nov 11 02:08:17 2020 Fold 0, Epoch 2, lr: 0.0004000, train loss: 0.10199, valid loss: 0.01693, Acc: 99.5691, AUC: 0.999916.
Wed Nov 11 02:16:02 2020 Fold 0, Epoch 3, lr: 0.0003414, train loss: 0.03275, valid loss: 0.00807, Acc: 99.7348, AUC: 0.999982.
